,ID,聚酯纤维,氨纶,粘纤,锦纶,腈纶,羊毛,棉,其他纤维,醋纤,三醋酯纤维,聚酯薄膜纤维,莱赛尔,亚麻,兔毛,聚酰胺薄膜纤维,再生纤维素纤维,莱赛尔纤维,桑蚕丝,山羊绒,莫代尔,马海毛,羊驼毛,三醋纤
164,58059.0,39.6,0,0,0,0,0,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,58906.0,0,0,52.9,0,0,0,0,0,0,0,0,0,0,0,47.1,0,0,0,0,0,0,0,0
166,60209.0,100,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,96.7,0,0,0,0,0,0,0
167,60231.0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,65084.0,94.1,5.9,31.2,0,0,0,0,0,0,0,0,0,0,0,68.8,0,0,0,0,0,0,0,0
169,60256.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,60356.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,66677.0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,66844.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,60166.0,96.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,66371.0,0,3.9,68.6,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,70257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,70274.0,0,9.2,0,0,0,0,90.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,67242.0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,66731.0,0,2.0,0,0,0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,67839.0,39.6,0,0,0,0,0,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,66680.0,0,1.5,38.7,16.4,42.7,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,65921.0,95.8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,68414.0,94.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,69318.0,96.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,68399.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,70141.0,0,0,24.2,32.6,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,70271.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,70168.0,30.0,0,0,0,0,0,40.9,0,0,0,0,0,29.1,0,0,0,0,0,0,0,0,0,0
188,70186.0,100,9.2,0,0,0,0,90.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,70167.0,0,9.2,0,0,0,0,90.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,74018.0,0,0,0,0,0,78.5,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0
191,76870.0,0,0,0,0,49.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,76869.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,81271.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,81272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,76865.0,0,0.5,23.1,11.2,0,51.1,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0
196,77342.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,80664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,82409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,82508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,82360.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,82448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,82487.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,80565.0,0,2.3,0,17.9,40.8,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,84014.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,82484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,83871.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,83896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,36568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,49518.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,53390.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,52544.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,56182.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,52600.0,35.4,0,0,64.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,57915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,58173.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,58067.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,60413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,60421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,60240.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,57981.0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,60441.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,64772.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,66037.0,0,0.7,0,1.6,0,97.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,60363.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,66053.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,60245.0,0,0,32.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,66655.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,66390.0,0,0,0,5.9,0,94.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,66683.0,0,0.7,8.7,7.6,0,89.6,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0
230,66694.0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,66781.0,0,0,0,21.9,37.1,30.3,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0
232,69266.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,68430.0,0,1.8,0,0,0,0,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,70207.0,7.0,0.8,0,0,0,0,92.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,69708.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,70223.0,94.1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,70194.0,17.9,0,0,0,0,0,0,0,0,82.1,0,0,0,0,0,0,0,0,0,0,0,0,0
